Time,acc
7.76,-0.055393201
7.765,-0.268243106
7.77,0.181164638
7.775,-0.272246054
7.78,-0.15236831
7.785,-0.270720833
7.79,0.024730661
7.795,0.077318496
7.8,-0.007978576
7.805,-0.094208518
7.81,0.424791216
7.815,-0.127798562
7.82,0.221717134
7.825,-0.197588616
7.83,0.035274541
7.835,0.153859889
7.84,-0.154370588
7.845,0.09000036
7.85,0.241145608
7.855,0.069424576
7.86,0.375044255
7.865,-0.029726267
7.87,0.190968815
7.875,0.14200434
7.88,-0.1611491
7.885,0.082894156
7.89,-0.141142734
7.895,0.039445663
7.9,0.02058771
7.905,0.070742384
7.91,0.040546513
7.915,0.118721298
7.92,-0.073610979
7.925,0.040876404
7.93,-0.195295856
7.935,-0.145197396
7.94,-0.286389735
7.945,0.043680186
7.95,-0.329341603
7.955,0.10040177
7.96,-0.178396471
7.965,0.143846478
7.97,0.023839526
7.975,-0.193172126
7.98,-0.082629095
7.985,0.0380406
7.99,-0.323011054
7.995,0.059734543
8,-0.349888872
8.005,0.28317208
8.01,0.102464218
8.015,-0.083110955
8.02,0.235957661
8.025,0.144401221
8.03,0.1303153
8.035,0.016526447
8.04,-0.233592505
8.045,0.263461725
8.05,0.050070028
8.055,-0.0805037
8.06,0.136319241
8.065,0.196819168
8.07,0.378980409
8.075,-0.014754815
8.08,0.017781029
8.085,0.114160172
8.09,0.164818347
8.095,-0.26445736
8.1,-0.163018245
8.105,0.044573686
8.11,0.123904164
8.115,-0.062865586
8.12,-0.078210482
8.125,0.014648523
8.13,0.351145015
8.135,-0.370422585
8.14,-0.169162649
8.145,-0.139140669
8.15,-0.101745943
8.155,-0.086518194
8.16,-0.449303377
8.165,0.037419493
8.17,0.273578285
8.175,-0.201684358
8.18,0.003250964
8.185,-0.085073558
8.19,0.100596296
8.195,0.036625358
8.2,-0.524910335
8.205,0.117439708
8.21,0.038752592
8.215,0.074489076
8.22,-0.069458569
8.225,0.136013827
8.23,0.305221377
8.235,0.28768618
8.24,-0.23324585
8.245,0.178934238
8.25,0.032228915
8.255,0.186931916
8.26,-0.296062901
8.265,0.198831642
8.27,0.060144709
8.275,0.428880272
8.28,-0.140750109
8.285,0.172072848
8.29,0.181267522
8.295,0.113272229
8.3,-0.264699638
8.305,0.016240721
8.31,-0.28780891
8.315,0.309857032
8.32,-0.42056111
8.325,0.075370832
8.33,0.088203774
8.335,0.01592165
8.34,-0.017712493
8.345,-0.147188998
8.35,-0.207163596
8.355,0.110506888
8.36,-0.505503882
8.365,-0.037839157
8.37,-0.163679479
8.375,-0.023826845
8.38,0.06816071
8.385,-0.094174698
8.39,0.103543047
8.395,0.083532886
8.4,-0.104788242
8.405,-0.032669476
8.41,-0.097553094
8.415,-0.047058556
8.42,-0.000354953
8.425,0.045418814
8.43,0.113185728
8.435,0.177773999
8.44,0.219048653
8.445,0.098497812
8.45,0.241499995
8.455,-0.085601536
8.46,0.071197266
8.465,0.078810597
8.47,-0.126438845
8.475,0.156306595
8.48,-0.022988678
8.485,0.19621212
8.49,0.262683852
8.495,-0.124245077
8.5,0.185342008
8.505,0.048270984
8.51,-0.178952037
8.515,0.010908367
8.52,-0.433401112
8.525,0.178195569
8.53,-0.133574598
8.535,-0.142302581
8.54,-0.008411795
8.545,0.108205936
8.55,-0.04365512
8.555,-0.019656746
8.56,-0.437469641
8.565,0.179455714
8.57,-0.30996397
8.575,-0.111835707
8.58,-0.362070175
8.585,0.252442138
8.59,-0.053777085
8.595,0.149275882
8.6,-0.221197835
8.605,0.308654356
8.61,0.036307579
8.615,-0.018949887
8.62,-0.367011488
8.625,0.326711727
8.63,-0.159615674
8.635,0.296617842
8.64,-0.282058256
8.645,0.409563508
8.65,0.350521353
8.655,0.061408771
8.66,-0.055699158
8.665,0.241956108
8.67,-0.037974799
8.675,0.231060569
8.68,-0.509804764
8.685,0.271111106
8.69,0.185768926
8.695,0.014732221
8.7,0.006297455
8.705,0.058238615
8.71,0.208753431
8.715,0.067080515
8.72,-0.456264727
8.725,-0.015286416
8.73,-0.052806954
8.735,-0.123092814
8.74,-0.275885793
8.745,-0.098790642
8.75,0.180928472
8.755,0.03784881
8.76,-0.193712201
8.765,-0.143527777
8.77,0.114863803
8.775,-0.150945041
8.78,-0.33837934
8.785,-0.131212528
8.79,-0.060480389
8.795,0.177585692
